Year,Rmax,Name
2015,12.43488620097442,Shaheen II
2015,11.981017783014792,Abel
2015,11.804534402995225,NA
2015,11.696511180033287,Topaz
2015,11.610212822282731,Thunder
2015,11.555873659298285,Mistral
2015,11.458211779855327,SuperMUC Phase 2
2015,11.1355040882175,Makman-2
2016,16.505169410498333,Sunway TaihuLight
2016,13.774653241783245,Cori
2016,12.781140423607496,NA
2016,12.539049732258661,Pleiades
2016,12.225264685610833,Cheyenne
2016,11.945692555461518,NA
2016,11.945692555461518,NA
2016,11.57806600350807,Camphor 2
2016,11.452127962283154,NA
2016,11.452127962283154,NA
2017,14.37381675079274,Piz Daint
2017,14.299114984457425,Trinity
2017,13.54659306329998,Tera-1000-2
2017,13.382718582139947,Stampede2
2017,12.988152097690541,TSUBAME3.0
2017,12.756743944071621,Theta
2017,12.659728371637872,MareNostrum
2017,12.624802308416987,ONYX
2017,11.989234822349282,JOLIOT-CURIE SKL
2017,11.813644930250751,Niagara
2018,17.181074590313322,Summit
2018,16.530162453227152,Sierra
2018,15.906996257879788,Tianhe-2A
2018,14.249454229903098,SuperMUC-NG
2018,14.151650829973422,Lassen
2018,13.76583513842878,Nurion
2018,13.575775579874765,HPC4
2018,13.1357092861044,Taiwania 2
2018,12.592861103479185,JUWELS Module 1
2018,12.484445307771644,NA
2019,14.521379602152937,Frontera
2019,14.401412878714178,Marconi-100
2019,14.124444460008585,PANGEA III
2019,13.28051850838972,Amazon EC2 Instance Cluster us-east-1a
2019,13.0256586729435,AiMOS
2019,12.869541794244565,PupMaya
2019,12.82515755470108,Artemis
2019,12.770672151021579,JOLIOT-CURIE ROME
2019,12.703254733748146,Christofari
2019,12.56230444350814,Lise
2020,18.75371948384359,Supercomputer Fugaku
2020,15.953559900805,Selene
2020,15.429145170478744,JUWELS Booster Module
2020,15.113498007014242,HPC5
2020,14.451211111832329,Dammam-7
2020,14.238852526315656,Hawk
2020,14.018200178813226,TOKI-SORA
2020,14.018026265843226,Pioneer-EUS
2020,13.644982855229008,Lyapunov
2020,13.289586665080801,Dogwood
2021,20.187371405926893,Frontier
2021,16.112887428586184,Perlmutter
2021,14.87507737048591,Voyager-EUS2
2021,14.655642520981333,Polaris
2021,14.619818766539186,SSC-21
2021,14.5041734531587,CEA-HF
2021,14.438838625074274,ABCI 2.0
2021,14.433128984942648,Wisteria/BDEC-01 (Odyssey)
2021,14.394060699054597,Chervonenkis
2021,14.254069012057457,ARCHER2
2022,15.492479130204062,Adastra
2022,14.729195859132094,Setonix – GPU
2022,14.673419504207383,Discovery 5
2022,14.219017223200119,Pégaso
2022,13.706388092492341,NA
2022,13.706388092492341,NA
2022,13.341518823245243,KT DGX SuperPOD
2022,13.303638069539703,Levante
2022,13.207471955404491,NA
2022,13.146886835415884,Aitken
2023,18.23771412863295,LUMI
2023,17.864839040856502,Leonardo
2023,15.71960272783563,Explorer-WUS3
2023,15.311322594732095,Pre-Eos 128 Node DGX SuperPOD
2023,13.79766152585376,Titan
2023,13.33371442609397,Derecho CPU partition
2023,13.149588363516528,Goethe-NHR
2023,13.053247125912426,AIRAWAT - PSAI
2023,12.766528908598865,Gaia
2023,12.375354443309865,NA5
