Year,Rmax,Name
2015,4042.46,Abel
2015,3577,NA
2015,3318.9500000000003,Topaz
2015,3126.24,Thunder
2015,3010.68,Mistral
2015,2813.62,SuperMUC Phase 2
2015,2249.68,Makman-2
2016,14014.7,Cori
2016,7038.929999999999,NA
2016,5951.55,Pleiades
2016,4788.1900000000005,Cheyenne
2016,3944.68,NA
2016,3944.68,NA
2016,3057.3500000000004,Camphor 2
2016,2801.7799999999997,NA
2016,2801.7799999999997,NA
2017,20158.7,Trinity
2017,11965.5,Tera-1000-2
2017,10680.7,Stampede2
2017,8125,TSUBAME3.0
2017,6920.9,Theta
2017,6470.8,MareNostrum
2017,6316.03,ONYX
2017,4065.55,JOLIOT-CURIE SKL
2017,3599.66,Niagara
2018,94640,Sierra
2018,61444.5,Tianhe-2A
2018,19476.6,SuperMUC-NG
2018,18200,Lassen
2018,13929.3,Nurion
2018,12210,HPC4
2018,9000,Taiwania 2
2018,6177.73,JUWELS Module 1
2018,5730.5,NA
2019,21640,Marconi-100
2019,17860,PANGEA III
2019,9950.26,Amazon EC2 Instance Cluster us-east-1a
2019,8339,AiMOS
2019,7483.73,PupMaya
2019,7257,Artemis
2019,6988.04,JOLIOT-CURIE ROME
2019,6669,Christofari
2019,6048.26,Lise
2020,63460,Selene
2020,44120,JUWELS Booster Module
2020,35450,HPC5
2020,22400,Dammam-7
2020,19334,Hawk
2020,16592,TOKI-SORA
2020,16590,Pioneer-EUS
2020,12810,Lyapunov
2020,10013,Dogwood
2021,70870,Perlmutter
2021,30050,Voyager-EUS2
2021,25810,Polaris
2021,25177,SSC-21
2021,23237.6,CEA-HF
2021,22208.72,ABCI 2.0
2021,22121,Wisteria/BDEC-01 (Odyssey)
2021,21530,Chervonenkis
2021,19539,ARCHER2
2022,27160,Setonix – GPU
2022,26130,Discovery 5
2022,19070,Pégaso
2022,13367,NA
2022,13367,NA
2022,10380,KT DGX SuperPOD
2022,10111,Levante
2022,9459,NA
2022,9070,Aitken
2023,238700,Leonardo
2023,53960,Explorer-WUS3
2023,40660,Pre-Eos 128 Node DGX SuperPOD
2023,14240,Titan
2023,10324,Derecho CPU partition
2023,9087,Goethe-NHR
2023,8500,AIRAWAT - PSAI
2023,6968,Gaia
2023,5313.160000000001,NA5
